File,Assertion,Result,Time(ms),Trace,DOTPath
model.csp,"System() deadlockfree",VALID,0,"",C:/Users/admin/Downloads/fyp_code\model.System() deadlockfree.dot
model.csp,"System() |= xgreaterthan2",INVALID,0,"init",C:/Users/admin/Downloads/fyp_code\model.System() _= xgreaterthan2.dot
